route_id,route_name,route,provider,provider_url,cost,price_usd,network,asset,pay_to,capability,category_label,cluster_label,provider_shape_type,verdict,risk_flags,observed_txns_30d,observed_volume_usd_30d,quality_score,evidence_stage,niche_label,niche_tier,niche_tier_name,novelty_score,replaces,composable_with,interest_angle,is_live_30d,x402scan_source_url,inspect_url
r_2c5cf2c4a128,tarot_reader,https://gg402.vercel.app/tarot_reader,https://gg402.vercel.app,https://gg402.vercel.app,0.01 USDC,0.01,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x9257cD24721e3c06E9F7655b77C283bCD9652132,"Provides tarot card readings based on user queries, interpreting spreads for guidance on personal questions with symbolic meanings and reflections.",Long-tail utility tools,Route farms and catalog inflation,route farm,PROBE,accept_unverified|large_route_farm,0,0.0,66,metadata_complete,Tarot reading,6,weird_shakespeare_niche,10,"Free apps, paid tarot phone hotlines",Astrology / horoscope; Numerology; Dream interpretation; LLM inference,Per-pull tarot reading API — an agent can deliver entertainment content on demand without an LLM subscription,no,https://www.x402scan.com/server/3257e90c-5a73-4a07-8b14-4d094904bc21,https://www.x402scan.com/server/3257e90c-5a73-4a07-8b14-4d094904bc21
r_b24b512f43f6,tarot_reading,https://gg402.vercel.app/tarot_reading,https://gg402.vercel.app,https://gg402.vercel.app,0.01 USDC,0.01,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x9257cD24721e3c06E9F7655b77C283bCD9652132,"Provides virtual tarot card readings with interpretations based on user questions, offering spiritual guidance.",Long-tail utility tools,Route farms and catalog inflation,route farm,PROBE,accept_unverified|large_route_farm,0,0.0,66,metadata_complete,Tarot reading,6,weird_shakespeare_niche,10,"Free apps, paid tarot phone hotlines",Astrology / horoscope; Numerology; Dream interpretation; LLM inference,Per-pull tarot reading API — an agent can deliver entertainment content on demand without an LLM subscription,no,https://www.x402scan.com/server/3257e90c-5a73-4a07-8b14-4d094904bc21,https://www.x402scan.com/server/3257e90c-5a73-4a07-8b14-4d094904bc21
r_c112e01ab90e,interpret_dream,https://gg402.vercel.app/interpret_dream,https://gg402.vercel.app,https://gg402.vercel.app,0.01 USDC,0.01,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x9257cD24721e3c06E9F7655b77C283bCD9652132,"Interpret dreams based on descriptions, offering psychological insights and symbolism explanations.",Data enrichment,Route farms and catalog inflation,route farm,PROBE,accept_unverified|large_route_farm,0,0.0,56,metadata_complete,Dream interpretation,6,weird_shakespeare_niche,10,LLM chat subs,Tarot reading; Astrology / horoscope; LLM inference,Pay a few cents and get a dream interpreted — a real route exists for this,no,https://www.x402scan.com/server/3257e90c-5a73-4a07-8b14-4d094904bc21,https://www.x402scan.com/server/3257e90c-5a73-4a07-8b14-4d094904bc21
r_23a133ef594a,246,https://services.eruditepay.com/relic-drop/nft/246,https://services.eruditepay.com,https://services.eruditepay.com,3 USDC,3.0,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x6961b88476a9b89C4ed97A4aF4D190754d5e70A1,Mint Tarot Card #246 â Common Cursed Treasures NFT on Base Mainnet.,Onchain and finance,Route farms and catalog inflation,route farm,PROBE,accept_unverified|large_route_farm,0,0.0,56,metadata_complete,Tarot reading,6,weird_shakespeare_niche,10,"Free apps, paid tarot phone hotlines",Astrology / horoscope; Numerology; Dream interpretation; LLM inference,Per-pull tarot reading API — an agent can deliver entertainment content on demand without an LLM subscription,no,https://www.x402scan.com/server/65cf8c3f-d7fd-41fc-bb6e-b9a1c8e6b659,https://www.x402scan.com/server/65cf8c3f-d7fd-41fc-bb6e-b9a1c8e6b659
r_23129d4cc615,247,https://services.eruditepay.com/relic-drop/nft/247,https://services.eruditepay.com,https://services.eruditepay.com,3 USDC,3.0,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x6961b88476a9b89C4ed97A4aF4D190754d5e70A1,Mint Tarot Card #247 â Common Cursed Treasures NFT on Base Mainnet.,Onchain and finance,Route farms and catalog inflation,route farm,PROBE,accept_unverified|large_route_farm,0,0.0,56,metadata_complete,Tarot reading,6,weird_shakespeare_niche,10,"Free apps, paid tarot phone hotlines",Astrology / horoscope; Numerology; Dream interpretation; LLM inference,Per-pull tarot reading API — an agent can deliver entertainment content on demand without an LLM subscription,no,https://www.x402scan.com/server/65cf8c3f-d7fd-41fc-bb6e-b9a1c8e6b659,https://www.x402scan.com/server/65cf8c3f-d7fd-41fc-bb6e-b9a1c8e6b659
r_cc490ff8a5ba,248,https://services.eruditepay.com/relic-drop/nft/248,https://services.eruditepay.com,https://services.eruditepay.com,3 USDC,3.0,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x6961b88476a9b89C4ed97A4aF4D190754d5e70A1,Mint Tarot Card #248 â Common Cursed Treasures NFT on Base Mainnet.,Onchain and finance,Route farms and catalog inflation,route farm,PROBE,accept_unverified|large_route_farm,0,0.0,56,metadata_complete,Tarot reading,6,weird_shakespeare_niche,10,"Free apps, paid tarot phone hotlines",Astrology / horoscope; Numerology; Dream interpretation; LLM inference,Per-pull tarot reading API — an agent can deliver entertainment content on demand without an LLM subscription,no,https://www.x402scan.com/server/65cf8c3f-d7fd-41fc-bb6e-b9a1c8e6b659,https://www.x402scan.com/server/65cf8c3f-d7fd-41fc-bb6e-b9a1c8e6b659
r_06828f9bb465,%7Baddress%7D,https://api.aitoollab.top/api/security/address/%7Baddress%7D,AI副业加速器｜AiToollab — 普通人用AI做副业的实战平台,https://api.aitoollab.top,0.08 USDC,0.08,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x1D99D952eAd3E8907c9989D15303d3Bcc443Ef97,Address risk analysis for {address},Onchain and finance,Onchain market data and wallets,broad catalog,PROBE,,0,0.0,83,metadata_complete,Wallet forensics,1,enterprise_saas_replacement,9,Chainalysis / TRM / Elliptic ($25k+/yr),Sanctions / OFAC screen; KYC / ID verify; DeFi position,Per-address risk scoring — replaces five-figure-minimum forensic SaaS contracts,no,https://www.x402scan.com/server/b01eb843-ac8a-4b3a-b1e1-a31ca19656b8,https://www.x402scan.com/server/b01eb843-ac8a-4b3a-b1e1-a31ca19656b8
r_9acb4ca72f96,9217981,https://war-tracker.com/api/v1/vessels/9217981,"War-Tracker — Unbiased, Uncensored, Live War Tracker Map | Real-Time OSINT Conflict Map",https://war-tracker.com,0.001 USDC,0.001,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x8B7243F652D3641F661619862157686992640b37,"Single vessel identity by IMO. Returns scalar identity: name, MMSI, flag (ISO-3166-1 alpha-2), AIS type (e.g. `Tanker`, `Cargo`, `Fishing`), subtype (e.g. `Crude Oil Tanker`), commercial market (13-value enum: `WET BULK`, `DRY BULK`, `CONTAINER SHIPS`, …), overall length in metres, year built, and the boolean `sanctioned` / `watchlisted` rollups across OFAC, FCDO, EU, UANI, ASO, GAC, UN, SECO, MFAT, and the War-Tracker OSINT shadow-fleet watchlist.

Free for browsers, AI-search crawlers…","Search, crawl, scrape",Sensitive verification and legal risk,focused provider,WARN,accept_unverified|identity_sensitive|regulated_or_legal,0,0.0,81,metadata_complete,Sanctions / OFAC screen,1,enterprise_saas_replacement,9,ComplyAdvantage / Refinitiv World-Check ($10k+/yr),KYC / ID verify; PEP / adverse media; Wallet forensics,Per-call sanctions checks — replaces enterprise compliance subscriptions,no,https://www.x402scan.com/server/5fabd45f-be84-4001-b869-b370e958f7aa,https://www.x402scan.com/server/5fabd45f-be84-4001-b869-b370e958f7aa
r_5b3ec5eb5e7f,wallet,https://mru-oracle.com/compliance/wallet,Mauritius Oracle — x402 Gateway Powered by SENTINEL,https://mru-oracle.com,0.001 USDC,0.001,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x237371f8b372A02b58fB430eb564b7c5cb936f75,"Sentinel AML Intelligence: screen blockchain wallet address against 12,997+ sanctioned/blacklisted crypto addresses (OFAC SDN, USDT Blacklist, USDC Blacklist, Ransomwhere, OpenSanctions, UK OFSI)",Onchain and finance,Sensitive verification and legal risk,focused provider,WARN,accept_unverified|regulated_or_legal,0,0.0,81,metadata_complete,Sanctions / OFAC screen,1,enterprise_saas_replacement,9,ComplyAdvantage / Refinitiv World-Check ($10k+/yr),KYC / ID verify; PEP / adverse media; Wallet forensics,Per-call sanctions checks — replaces enterprise compliance subscriptions,no,https://www.x402scan.com/server/8e529674-0f95-4332-9425-2a121e13523b,https://www.x402scan.com/server/8e529674-0f95-4332-9425-2a121e13523b
r_911e2c0577c0,sanctions,https://war-tracker.com/api/v1/vessels/9217981/sanctions,"War-Tracker — Unbiased, Uncensored, Live War Tracker Map | Real-Time OSINT Conflict Map",https://war-tracker.com,0.001 USDC,0.001,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x8B7243F652D3641F661619862157686992640b37,"Sanctions + watchlist rollup for one vessel by IMO. Joins our internal mirrors of the 9 sanctioning bodies (OFAC, FCDO, EU, UANI, ASO, GAC, UN, SECO, MFAT) plus the War-Tracker OSINT shadow-fleet watchlist, and returns every body that has ever listed the vessel along with the listing date per body, plus structured watchlist context (`reason`, `severity`, `source`, first/last-updated UTC).

Free for browsers, AI-search crawlers, and link-preview bots; paid via x402 for training-crawler UAs…","Search, crawl, scrape",Sensitive verification and legal risk,focused provider,WARN,accept_unverified|regulated_or_legal,0,0.0,81,metadata_complete,Sanctions / OFAC screen,1,enterprise_saas_replacement,9,ComplyAdvantage / Refinitiv World-Check ($10k+/yr),KYC / ID verify; PEP / adverse media; Wallet forensics,Per-call sanctions checks — replaces enterprise compliance subscriptions,no,https://www.x402scan.com/server/5fabd45f-be84-4001-b869-b370e958f7aa,https://www.x402scan.com/server/5fabd45f-be84-4001-b869-b370e958f7aa
